Active,Sodium_hydroxide,Sodium_carbonate,Water,Fragance,Blue_dye,%_Active,%_Sodium_percarbonate,Test,Dosage,Time_of_contact_(min),Temperature,Final_Result
2,0.03145,0,33.0089,0.10965,0,0.425,0,6,0,5,20,1
1,0,30.408,2.027,0.237,0.0084,10.7,0,1,1.43,60,20,1
2,0.214,0.194,90.908,0,0,0.3,0,1,0,10,20,1
2,0.214,0.194,90.908,0,0,0.3,0,1,0,15,20,1
2,0.214,0.194,90.908,0,0,0.3,0,6,0,10,20,1
2,0.214,0.194,90.908,0,0,0.3,0,6,0,15,20,1
2,0.214,0.194,85.249,0.5,0.009,4.45,0,1,0.01,5,20,1
6,0.214,0.194,85.249,0.5,0.009,9,0,1,0.01,5,20,1
2,0.214,0.194,85.249,0.5,0.009,4.45,0,1,0.01,10,20,1
6,0.214,0.194,85.249,0.5,0.009,9,0,1,0.01,10,20,1
2,0.214,0.194,85.249,0.5,0.009,4.45,0,1,0.01,15,20,1
6,0.214,0.194,85.249,0.5,0.009,9,0,1,0.01,15,20,1
2,0,0.194,85.249,0.5,0.009,4.45,0,6,0.01,5,20,0
6,0,0.194,85.249,0.5,0.009,9,0,6,0.01,5,20,0
2,0,0.194,85.249,0.5,0.009,4.45,0,6,0.01,10,20,1
6,0,0.194,85.249,0.5,0.009,9,0,6,0.01,10,20,1
2,0,0.194,85.249,0.5,0.009,4.45,0,6,0.01,15,20,1
6,0,0.194,85.249,0.5,0.009,9,0,6,0.01,15,20,1
4,0.1042,0,93.6658,0,0,4,0,7,0,1,20,1
4,0.1042,0,93.6658,0,0,4,0,7,0,5,20,1
4,0.1042,0,93.6658,0,0,4,0,7,0,10,20,1
1,0,30.408,2.027,0.237,0.0084,10.7,0,1,1.43,60,20,1
3,0,0,88.7472,0,0,8,0,1,1.607,60,20,0
3,0,0,88.9472,0,0,8,0,1,1.607,60,20,0
1,0,30.408,2.027,0.237,0.0084,10.7,0,1,1.43,60,20,1
1,0,30.408,2.027,0.237,0.0084,10.7,0,1,1.43,60,20,1
1,0,31.093,1.917,0.25,0.0089,11.275,5.625,1,2,60,20,1
1,0,0,2.041,0.237,0.009,10.7,0,1,1.43,60,20,1
1,0,0,2.041,0.237,0.009,10.7,0,1,1.43,60,20,1
1,0,0,2.06,0,0.009,10.7,0,1,1.43,60,20,1
1,0,0,2.06,0,0.009,10.7,0,1,1.43,60,20,1
1,0,0,2.06,0,0.009,10.7,0,1,1.43,60,20,1
2,0,0,88.62155,0.3,0.00114,0.3,0,1,25,60,20,1
3,0,0,88.8472,0,0,8,0,1,1.607,60,20,0
3,0,0,88.7472,0,0,8,0,3,1.607,60,20,1
3,0,0,88.9472,0,0,8,0,3,1.607,60,20,1
3,0,0,88.8472,0,0,8,0,3,1.607,60,20,1
1,0,28.3,1.85,0.37,0.013,15,3.75,1,7.5,60,20,1
1,0,31.094,1.917,0.2,0.009,11.275,0,1,7.5,60,20,1
1,0,21.78,2.329,0.341,0.008,8.9,0,1,10,60,20,1
3,0,0,83.3129,0,0,8,0,1,11.25,60,20,1
2,0.214,0.194,96.6046,0,0.002,1,0,1,0,0.5,20,1
6,0.214,0.194,96.6046,0,0.002,1.5,0,1,0,0.5,20,1
2,0.214,0.194,96.6046,0,0.002,1,0,1,0,1,20,1
6,0.214,0.194,96.6046,0,0.002,1.5,0,1,0,1,20,1
2,0.214,0.194,96.6046,0,0.002,1,0,1,0,5,20,1
6,0.214,0.194,96.6046,0,0.002,1.5,0,1,0,5,20,1
2,0.214,0.194,96.6046,0,0.002,1,0,6,0,0.5,20,0
6,0.214,0.194,96.6046,0,0.002,1.5,0,6,0,0.5,20,0
2,0.214,0.194,96.6046,0,0.002,1,0,6,0,1,20,0
6,0.214,0.194,96.6046,0,0.002,1.5,0,6,0,1,20,0
2,0.214,0.194,96.6046,0,0.002,1,0,6,0,5,20,1
6,0.214,0.194,96.6046,0,0.002,1.5,0,6,0,5,20,1
5,1,0.51,95.99,0,0,2.5,0,6,5,10,20,1
5,1,0.51,95.99,0,0,2.5,0,6,5,15,20,1
5,1,0.51,95.99,0,0,2.5,0,6,5,30,20,1
7,1.3,0,76.6291,0.17,0,1.5,0,1,0,5,20,1
7,1.3,0,76.6291,0.17,0,1.5,0,6,0,5,20,1
4,0.1042,0,93.6658,0,0,4,0,7,0,1,20,0
4,0.1042,0,93.6658,0,0,4,0,7,0,5,20,0
4,0.1042,0,93.6658,0,0,4,0,7,0,10,20,0
1,0,21.223,2.163,0.293,0.008,8.906,0,1,10,60,20,1
1,0,30.423,1.933,0.18,0.008,11.275,0,1,7.5,60,20,1
1,0,30.423,1.933,0.237,0.008,12.275,5.625,1,7.5,60,20,1
1,0,29.4,1.98,0.333,0.014,15,0,1,7.5,60,20,1
2,0.095,0,95.61,0.215,0.1,1,0,6,0,0.5,20,0
6,0.095,0,95.61,0.215,0.1,1,0,6,0,0.5,20,0
4,0.095,0,95.61,0.215,0.1,1.5,0,6,0,0.5,20,0
2,0.095,0,95.61,0.215,0.1,1,0,6,0,1,20,1
6,0.095,0,95.61,0.215,0.1,1,0,6,0,1,20,1
4,0.095,0,95.61,0.215,0.1,1.5,0,6,0,1,20,1
2,0.095,0,95.61,0.215,0.1,1,0,6,0,2,20,1
6,0.095,0,95.61,0.215,0.1,1,0,6,0,2,20,1
4,0.095,0,95.61,0.215,0.1,1.5,0,6,0,2,20,1
8,0,0,90.87686,0.6778,0.00114,2.5,0,1,1,5,20,1
8,0,0,90.87686,0.6778,0.00114,2.5,0,1,1,5,20,0
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,5,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,5,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,5,20,0
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,5,20,0
8,0,0,90.87686,0.6778,0.00114,2.5,0,1,1,15,20,1
8,0,0,90.87686,0.6778,0.00114,2.5,0,1,1,15,20,1
8,0,0,90.87686,0.6778,0.00114,2.5,0,1,1,10,20,1
8,0,0,90.87686,0.6778,0.00114,2.5,0,1,1,10,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,15,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,15,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,50,20,0
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,50,20,0
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,50,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,10,20,1
8,0,0,84.11686,0.6778,0.00114,4.5,0,1,1,10,20,1
3,0,0,89.3629,0,0,8,0,1,11.25,60,20,1
1,0,34.248,0.752,0.075,0.004,5,34.091,1,0.53,50,20,1
1,0,34.248,0.752,0.075,0.004,5,34.091,1,0.8,5,20,0
1,0,34.248,0.752,0.075,0.004,5,34.091,1,0.8,10,20,0
1,0,34.248,0.752,0.075,0.004,5,34.091,1,0.8,15,20,0
1,0,34.248,0.752,0.075,0.004,5,34.091,3,0.53,50,20,0
1,0,34.248,0.752,0.075,0.004,5,34.091,6,0.53,50,20,0
2,0.5,0,88.67246,0.18,0.00114,1,0,1,25,15,20,0
2,0.5,0,88.67246,0.18,0.00114,1,0,1,25,30,20,1
2,0.5,0,88.67246,0.18,0.00114,1,0,1,25,60,20,1
2,0.5,0,88.67246,0.18,0.00114,1,0,1,1.78,60,20,0
2,0.5,0,88.47246,0.18,0.00114,0.2,0,1,25,60,20,1
1,0,30.408,2.027,0.18,0.0084,10.7,0,1,7.5,60,20,1
2,0.095,0,95.61,0.215,0.1,1,0,1,0,0.5,20,1
6,0.095,0,95.61,0.215,0.1,1,0,1,0,0.5,20,1
4,0.095,0,95.61,0.215,0.1,1.5,0,1,0,0.5,20,1
2,0.095,0,95.61,0.215,0.1,1,0,1,0,1,20,1
6,0.095,0,95.61,0.215,0.1,1,0,1,0,1,20,1
4,0.095,0,95.61,0.215,0.1,1.5,0,1,0,1,20,1
2,0.095,0,95.61,0.215,0.1,1,0,1,0,2,20,1
6,0.095,0,95.61,0.215,0.1,1,0,1,0,2,20,1
4,0.095,0,95.61,0.215,0.1,1.5,0,1,0,2,20,1
2,0,0,90.84175,0.3,0.00114,0.3,0,1,0.1,60,20,1
2,0,0,90.84175,0.3,0.00114,0.3,0,1,25,60,20,1
1,0,29.006,2.057,0.225,0.008,10,0,1,7.5,60,20,1
1,0,29.006,2.057,0.225,0.008,10,0,1,2.86,60,20,1
1,0,30.408,2.027,0.344,0.008,10.7,0,1,7.5,60,20,1
1,0,30.408,2.027,0.237,0.0084,10.7,0,1,7.5,60,20,1
2,0,0,88.82275,0.18,0.00114,0.2,0,1,100,60,20,0
2,0,0,88.841551,0.18,0.00114,0.2,0,1,25,60,20,0
1,0,30.408,2.027,0.18,0.0084,10.7,0,1,7.5,60,20,1
1,0,20.408,2.027,0.18,0.0084,10.7,0,1,7.5,60,20,1
1,0,20.408,2.027,0.18,0.0084,10.7,0,1,7.5,60,20,1
1,0,30.408,2.027,0.18,0.0084,10.7,0,1,3,60,20,0
1,0,30.408,2.027,0.18,0.0084,10.7,0,1,3,60,20,0
2,0.5,0,88.47246,0.18,0.00114,0.2,0,1,25,60,20,0
2,0,0,45.6505,1.8,0.00684,1.2,0,1,25,60,20,0
2,0.2142,0.194,97.52285,0.38,0.00055,0.3,0,3,0,15,20,1
2,0.2142,0.194,96.44285,0.51,0.00055,0.75,0,3,60,15,20,1
2,0.2142,0.194,95.9578,0,0,0.75,0,3,60,15,20,1
2,0,0,49.05296,1.08,0.00684,1.2,0,1,24,60,20,0
2,0,0,90.94175,0.3,0.00114,0.2,0,1,25,60,20,1
2,0,0,88.721551,0.3,0.00114,0.2,0,1,25,60,20,0
2,0,0,88.721551,0.3,0.00114,0.2,0,1,100,60,20,0
2,0,0,88.62155,0.3,0.00114,0.3,0,1,0.1,60,20,1
1,0,0.31093,0.1917,0.00075,0,11.5,3.96,1,2.4,5,40,1
1,0,0.31093,0.1917,0.00075,0,11.5,3.96,1,2.4,30,40,1
1,0,0.31093,0.1917,0.00075,0,11.5,3.96,1,2.4,60,40,1
1,0,0.31093,0.1917,0.00075,0,11.5,3.96,2,2.4,60,40,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,1,2.5,5,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,1,2.5,30,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,1,2.5,60,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,2,2.5,60,20,1
1,0,0.31093,0.1917,0.0025,0,8.56,3.96,3,13.7,30,20,1
1,0,0.31093,0.1917,0.0025,0,8.56,3.96,3,13.7,60,20,1
1,0,0.31093,0.1917,0.0025,0,8.56,3.96,1,13.7,30,20,1
1,0,0.31093,0.1917,0.0025,0,8.56,3.96,1,13.7,60,20,1
1,0,0.31093,0.1917,0.0025,0,8.56,3.96,2,13.7,35.666,20,1
1,0,0.31093,0.1917,0.0025,0,8.56,3.96,2,13.7,65.666,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,1,3.16,20,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,1,3.16,30,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,1,3.16,60,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,2,3.16,26,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,2,3.16,36,20,1
1,0,0.31093,0.1917,0.0025,0,12,3.96,2,3.16,66,20,1
1,0,0.31093,0.1917,0.0025,0,6.5,1.3,3,8.6,60,20,0
1,0,0.31093,0.1917,0.0025,0,6.5,2.6,3,8.6,60,20,0
1,0,0.31093,0.1917,0.0025,0,6.5,4,3,8.6,60,20,0
1,0,0.31093,0.1917,0.0025,0,8,1.3,3,8.6,60,20,0
1,0,0.31093,0.1917,0.0025,0,8,2.6,3,8.6,60,20,0
1,0,0.31093,0.1917,0.0025,0,8,4,3,8.6,60,20,0
1,0,0.31093,0.1917,0.0025,0,9,2.64,1,3.16,20,20,1
1,0,0.31093,0.1917,0.0025,0,9,2.64,1,3.16,30,20,1
1,0,0.31093,0.1917,0.0025,0,9,2.64,1,3.16,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,3.96,1,3.16,20,20,1
1,0,0.31093,0.1917,0.0025,0,9,3.96,1,3.16,30,20,1
1,0,0.31093,0.1917,0.0025,0,9,3.96,1,3.16,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,2.64,2,3.16,26,20,1
1,0,0.31093,0.1917,0.0025,0,9,2.64,2,3.16,36,20,1
1,0,0.31093,0.1917,0.0025,0,9,2.64,2,3.16,66,20,1
1,0,0.31093,0.1917,0.0025,0,9,3.96,2,3.16,26,20,1
1,0,0.31093,0.1917,0.0025,0,9,3.96,2,3.16,36,20,1
1,0,0.31093,0.1917,0.0025,0,9,3.96,2,3.16,66,20,1
1,0,0.31093,0.1917,0.0025,0,9,4.5,1,2.5,5,20,0
1,0,0.31093,0.1917,0.0025,0,9,4.5,1,2.5,30,20,1
1,0,0.31093,0.1917,0.0025,0,9,4.5,1,2.5,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,4.5,2,2.5,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,4.5,1,2.5,5,20,0
1,0,0.31093,0.1917,0.0025,0,9,4.5,1,2.5,30,20,1
1,0,0.31093,0.1917,0.0025,0,9,4.5,1,2.5,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,4.5,2,2.5,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,3,3,13.7,60,20,1
1,0,0.31093,0.1917,0.0025,0,9,4,3,13.7,60,20,1
1,0,0.31093,0.1917,0.0025,0,7.5,3,1,13.7,60,20,1
1,0,0.31093,0.1917,0.0025,0,14,3.96,1,3.21,60,20,1
0,0,0,0,0,0,0,0,1,1.34,60,20,0
0,0,0,0,0,0,0,0,4,1.34,0,0,0
0,0,0,0,0,0,0,0,3,1.34,60,20,0
0,0,0,0,0,0,0,0,4,1.34,0,0,0
0,0,0,0,0,0,0,0,3,1.34,60,20,0
0,0,0,0,0,0,0,0,4,1.34,0,0,0
0,0,0,0,0,0,0,0,3,1.34,60,20,0
0,0,0,0,0,0,0,0,4,2.68,0,0,0
0,0,0,0,0,0,0,0,3,2.68,60,20,0
0,0,0,0,0,0,0,0,4,1.34,0,0,0
0,0,0,0,0,0,0,0,3,1.48,0,0,0
0,0,0,0,0,0,0,0,3,2.8,60,20,0
0,0,0,0,0,0,0,0,1,3.57,3,20,1
0,0,0,0,0,0,0,0,1,3.57,10,20,1
0,0,0,0,0,0,0,0,1,3.57,30,20,1
0,0,0,0,0,0,0,0,1,5.35,50,20,1
2,0,0,29.3,0.005,0,0.2,0,5,2.2,0,20,1
2,0,0,29.3,0.005,0,0.2,0,5,2.2,1440,20,1
2,0,0,98.38325,0.005,0,0.3,0,5,3.2,0,20,1
2,0,0,0,0,0,0.3,0,5,3.2,1440,20,1
2,0,0,98.25325,0.0043,0,0.5,0,5,0.8911,0,20,1
2,0,0,98.25325,0.0043,0,0.5,0,5,0.8911,1440,20,1
2,0,0,98.25325,0.0043,0,0.5,0,5,0.8865,0,20,1
2,0,0,98.25325,0.0043,0,0.5,0,5,0.8865,1440,20,1
1,0,0.22655,2.019,0.0035,0,8.906,0,1,10,60,20,1
1,0,0.22655,2.019,0.0035,0,8.906,0,1,10,0,20,1
2,0.002142,0.001901,96.62721,0.0033,0,0.75,0,6,60,5,20,0
2,0.002142,0.001901,96.62721,0.0033,0,0.75,0,6,0,1,20,0
2,0.002142,0.001901,96.62721,0.0033,0,0.75,0,6,0,5,20,0
2,0.002142,0.001901,96.62721,0.0033,0,0.75,0,6,0,15,20,0
2,0.0003145,0,33.089,0.0010965,0,0.425,0,6,0,5,20,1
2,0.0003145,0,33.089,0.0010965,0,0.425,0,5,1.0381,0,20,1
2,0.0003145,0,33.089,0.0010965,0,0.425,0,5,1.0381,1440,20,1
2,0.0003145,0,33.089,0.0010965,0,0.425,0,5,0.9863,0,20,1
2,0.0003145,0,33.089,0.0010965,0,0.425,0,5,0.9863,1440,20,1
1,0,0.31094,1.917,0.002,0,11.275,0,1,7.5,60,20,1
1,0,0,0,0,0,15,3.75,1,7.5,60,20,1
1,0,0,0,0,0,12,2.64,1,2.5,60,20,1
1,0,0,0,0,0,8.906,0,1,10,60,20,1
1,0,0,0,0,0,2,0,1,1.78,60,20,1
3,0,0,89.3129,0.0125,0,8,0,1,11.25,60,20,1
3,0,0,88.7472,0.0126,0,8,0,3,1.607142857,60,20,1
3,0,0,89.3129,0.0125,0,8,0,1,1.607142857,60,20,0
3,0,0,88.9472,0.0126,0,8,0,3,1.607142857,60,20,1
3,0,0,88.8472,0.0126,0,8,0,1,1.607142857,60,20,0
3,0,0,88.8472,0.0126,0,8,0,3,1.607142857,60,20,1
3,0,0,88.8472,0.0126,0,8,0,1,1.607142857,60,20,0
4,0,0,33.11,0,0,4,0,6,25,5,20,0
4,0,0,33.11,0,0,4,0,6,25,10,20,0
4,0,0,33.11,0,0,4,0,6,25,15,20,0
4,0,0,33.11,0,0,4,0,6,20,5,20,0
4,0,0,33.11,0,0,4,0,6,20,10,20,0
4,0,0,33.11,0,0,4,0,6,20,15,20,0
1,0.013,0,76.7291,0.0017,0,20,0,1,0,5,20,1
1,0.013,0,76.7291,0.0017,0,20,0,6,0,5,20,1
2,0.00214,0.00194,90.9081,0,0,0.3,0,1,0,10,20,1
2,0.00214,0.00194,90.9081,0,0,0.3,0,1,0,15,20,1
2,0.00214,0.00194,90.9081,0,0,0.3,0,6,0,10,20,1
2,0.00214,0.00194,90.9081,0,0,0.3,0,6,0,15,20,1
2,0.00214,0.00194,85.249,0.005,0,4.45,0,1,10,5,20,1
2,0.00214,0.00194,85.249,0.005,0,4.45,0,1,10,10,20,1
2,0.00214,0.00194,85.249,0.005,0,4.45,0,1,10,15,20,1
2,0.00214,0.00194,85.249,0.005,0,4.45,0,6,10,5,20,0
2,0.00214,0.00194,85.249,0.005,0,4.45,0,6,10,10,20,1
2,0.00214,0.00194,85.249,0.005,0,4.45,0,6,10,15,20,1
5,0.001,0.0051,95.99,0,0,2.5,0,6,5,10,20,1
5,0.001,0.0051,95.99,0,0,2.5,0,6,5,15,20,1
5,0.001,0.0051,95.99,0,0,2.5,0,6,5,30,20,1
1,0,0.31093,0.1917,0.0025,0,11.27,5.625,1,2,60,20,1
1,0,0.30423,1.933,0.0018,0,11.27,0,1,7.5,60,20,1
1,0,0.30423,1.933,0.0018,0,11.27,0,1,7.5,60,20,1
1,0,0.294,0,0.0033,0,15,0,1,7.5,60,20,1
1,0,0,0,0,0,8.906,0,1,10,60,20,1